Sample,X,Y,Z
0,0.9841,0.0190,0.0217
1,0.9854,0.0125,0.0205
2,0.9858,0.0139,0.0291
3,0.9832,0.0105,0.0122
4,0.9841,0.0142,0.0288
5,0.9800,0.0059,0.0103
6,0.9851,0.0073,0.0251
7,0.9878,0.0173,0.0188
8,0.9878,0.0039,0.0200
9,0.9841,0.0015,0.0215
10,0.9861,-0.0010,0.0156
11,0.9839,0.0190,0.0303
12,0.9832,0.0020,0.0142
13,0.9868,-0.0034,0.0244
14,0.9888,0.0073,0.0081
15,0.9929,0.0095,0.0293
16,0.9829,0.0042,0.0168
17,0.9888,0.0029,0.0244
18,0.9907,0.0168,0.0256
19,0.9841,0.0000,0.0132
20,0.9792,0.0076,0.0303
21,0.9839,0.0090,0.0164
22,0.9897,0.0093,0.0291
23,0.9822,0.0095,0.0122
24,0.9973,0.0190,0.0315
25,0.9890,0.0168,0.0215
26,0.9897,0.0034,0.0178
27,0.9868,0.0190,0.0205
28,0.9849,0.0117,0.0120
29,0.9868,0.0154,0.0283
30,0.9849,0.0149,0.0071
31,0.9890,0.0200,0.0303
32,0.9858,0.0181,0.0120
33,0.9949,0.0149,0.0222
34,0.9871,0.0195,0.0154
35,0.9871,0.0103,0.0144
36,0.9839,0.0176,0.0244
37,0.9839,0.0134,0.0151
38,0.9868,0.0208,0.0273
39,0.9822,0.0171,0.0139
40,0.9902,0.0178,0.0266
41,0.9849,0.0212,0.0154
42,0.9919,0.0146,0.0220
43,0.9858,0.0193,0.0173
44,0.9888,0.0164,0.0132
45,0.9832,0.0183,0.0261
46,0.9858,0.0168,0.0098
47,0.9871,0.0198,0.0222
48,0.9849,0.0178,0.0107
49,0.9910,0.0166,0.0256
50,0.9858,0.0137,0.0156
51,0.9910,0.0117,0.0176
52,0.9880,0.0181,0.0166
53,0.9900,0.0144,0.0149
54,0.9851,0.0115,0.0225
55,0.9858,0.0137,0.0093
56,0.9900,0.0144,0.0264
57,0.9871,0.0073,0.0093
58,0.9897,0.0073,0.0266
59,0.9858,0.0098,0.0146
60,0.9902,0.0042,0.0188
61,0.9832,0.0132,0.0261
62,0.9929,0.0054,0.0100
63,0.9907,-0.0217,0.0193
64,0.9734,-0.1194,0.0078
65,0.9880,-0.0093,0.0498
66,0.9968,-0.0088,0.0061
67,0.9692,-0.1892,0.0220
68,1.0056,-0.0408,0.0166
69,0.9624,-0.1147,0.0640
70,1.0115,-0.1770,-0.0483
71,0.9597,-0.2737,0.0662
72,1.0073,-0.2505,0.0022
73,0.9724,-0.5637,0.0410
74,0.9880,-0.4749,0.0522
75,0.9900,-0.5891,0.0620
76,0.9917,-0.9751,0.0850
77,0.9558,-0.9524,-0.0029
78,0.9998,-0.7307,0.1060
79,0.9832,-1.1311,0.0935
80,0.8989,-1.2544,-0.0225
81,1.0583,-0.8186,0.0564
82,0.9402,-1.2131,0.0098
83,0.9548,-1.1663,0.0186
84,1.0317,-0.9077,0.0901
85,1.0347,-0.9214,0.0732
86,0.8481,-1.5122,-0.0713
87,1.0571,-0.7964,0.1106
88,0.9771,-0.8843,0.1465
89,0.8542,-1.3528,-0.0215
90,1.0845,-0.9614,0.0032
91,0.9448,-0.9614,0.0947
92,0.9224,-1.2231,-0.0266
93,1.0056,-1.1721,0.0476
94,1.0027,-0.9368,0.1292
95,0.9309,-1.2083,0.0828
96,0.9978,-1.2913,0.0320
97,0.9685,-1.2053,0.0874
98,0.9558,-1.0374,0.0569
99,1.0112,-1.2720,0.0752
100,0.9666,-1.3372,0.0547
101,0.9871,-1.1965,0.0566
102,1.0083,-1.0522,0.0825
103,0.9907,-1.2603,0.0229
104,0.9634,-1.3638,0.0771
105,1.0613,-0.9417,0.1091
106,0.9451,-1.1340,0.0940
107,0.9478,-1.3296,-0.0325
108,1.0444,-0.8765,0.1602
109,1.0142,-1.0142,0.0337
110,0.9109,-1.5237,-0.0476
111,1.0337,-0.7671,0.0383
112,1.0200,-0.7966,0.1614
113,0.9282,-1.1890,-0.0959
114,0.9998,-1.0540,-0.0476
115,1.0542,-0.6362,0.1616
