Sample,X,Y,Z
0,0.9839,0.0117,0.0081
1,0.9878,0.0146,0.0317
2,0.9802,0.0073,0.0105
3,0.9939,0.0149,0.0286
4,0.9839,0.0203,0.0120
5,0.9880,0.0042,0.0249
6,0.9890,0.0151,0.0178
7,0.9880,0.0107,0.0159
8,0.9880,0.0129,0.0259
9,0.9810,0.0032,0.0117
10,0.9878,0.0178,0.0293
11,0.9832,0.0166,0.0125
12,0.9956,0.0073,0.0266
13,0.9868,0.0149,0.0164
14,0.9917,0.0105,0.0205
15,0.9849,0.0139,0.0229
16,0.9851,0.0063,0.0146
17,0.9841,0.0127,0.0266
18,0.9880,0.0139,0.0093
19,0.9929,0.0139,0.0291
20,0.9849,0.0107,0.0078
21,0.9956,0.0134,0.0273
22,0.9841,0.0156,0.0146
23,0.9858,0.0071,0.0190
24,0.9861,0.0132,0.0195
25,0.9832,0.0083,0.0120
26,0.9858,0.0151,0.0249
27,0.9841,0.0071,0.0051
28,0.9927,0.0132,0.0291
29,0.9819,0.0107,0.0095
30,0.9946,0.0115,0.0293
31,0.9878,0.0120,0.0164
32,0.9890,0.0090,0.0178
33,0.9858,0.0149,0.0249
34,0.9861,0.0127,0.0129
35,0.9861,0.0134,0.0283
36,0.9888,0.0098,0.0103
37,0.9956,0.0120,0.0273
38,0.9841,0.0168,0.0110
39,0.9890,0.0127,0.0251
40,0.9839,0.0076,0.0137
41,0.9868,0.0088,0.0188
42,0.9863,0.0156,0.0261
43,0.9812,0.0137,0.0129
44,0.9868,0.0146,0.0291
45,0.9841,0.0103,0.0076
46,0.9956,0.0110,0.0286
47,0.9810,0.0164,0.0085
48,0.9890,0.0076,0.0229
49,0.9858,0.0156,0.0210
50,0.9897,0.0068,0.0171
51,0.9841,0.0125,0.0234
52,0.9858,0.0100,0.0090
53,0.9861,0.0129,0.0310
54,0.9822,0.0068,0.0117
55,0.9966,0.0127,0.0278
56,0.9819,0.0161,0.0161
57,0.9907,0.0063,0.0234
58,0.9890,0.0125,0.0176
59,0.9880,-0.0627,0.0059
60,0.9771,-0.0061,0.0381
61,0.9839,0.0393,0.0168
62,0.9995,-0.0396,0.0212
63,0.9790,-0.0808,0.0146
64,0.9763,-0.0671,0.0288
65,0.9805,0.0364,0.0415
66,1.0222,0.0220,0.0088
67,0.9587,-0.2405,0.0107
68,0.9753,-0.0295,0.0181
69,1.0212,0.2070,0.0681
70,0.9656,-0.3054,-0.0291
71,0.9614,-0.1833,-0.0132
72,1.0144,0.3159,0.1184
73,1.0115,-0.2168,-0.0247
74,0.9226,-0.3181,-0.0342
75,1.0249,0.1807,0.1199
76,1.0112,-0.1211,-0.0054
77,0.9380,-0.2007,-0.0408
78,1.0083,0.0007,0.0969
79,0.9724,-0.2107,-0.0020
80,0.9751,-0.1228,0.0264
81,1.0298,-0.0522,0.0203
82,0.9382,-0.3411,0.0176
83,1.0193,-0.1082,0.0435
84,0.9744,-0.1338,0.0276
85,0.9614,-0.3687,0.0132
86,1.0212,-0.2104,0.0505
87,0.9548,-0.2271,0.0215
