Sample,X,Y,Z
0,0.9890,0.0068,0.0210
1,0.9890,0.0173,0.0234
2,0.9832,0.0117,0.0100
3,0.9829,0.0129,0.0261
4,0.9839,0.0107,0.0078
5,0.9888,0.0159,0.0283
6,0.9858,0.0159,0.0142
7,0.9937,0.0132,0.0229
8,0.9841,0.0071,0.0154
9,0.9851,0.0107,0.0164
10,0.9841,0.0203,0.0232
11,0.9819,0.0095,0.0110
12,0.9858,0.0171,0.0281
13,0.9880,0.0115,0.0081
14,0.9888,0.0144,0.0308
15,0.9900,0.0149,0.0139
16,0.9907,0.0107,0.0200
17,0.9873,0.0110,0.0208
18,0.9868,0.0107,0.0132
19,0.9861,0.0171,0.0281
20,0.9849,0.0059,0.0066
21,0.9890,0.0161,0.0261
22,0.9812,0.0090,0.0093
23,0.9878,0.0037,0.0244
24,0.9849,0.0117,0.0134
25,0.9888,0.0078,0.0188
26,0.9861,0.0151,0.0210
27,0.9858,0.0107,0.0139
28,0.9832,0.0129,0.0273
29,0.9868,0.0088,0.0090
30,0.9861,0.0093,0.0266
31,0.9832,0.0146,0.0107
32,0.9929,0.0112,0.0251
33,0.9863,0.0112,0.0149
34,0.9890,0.0054,0.0186
35,0.9871,0.0193,0.0247
36,0.9868,0.0105,0.0139
37,0.9849,0.0090,0.0283
38,0.9863,0.0066,0.0132
39,0.9917,0.0178,0.0310
40,0.9851,0.0088,0.0132
41,0.9939,0.0093,0.0278
42,0.9861,0.0171,0.0188
43,0.9878,0.0049,0.0168
44,0.9880,0.0176,0.0220
45,0.9851,0.0049,0.0103
46,0.9849,0.0195,0.0261
47,0.9888,0.0156,0.0120
48,0.9910,0.0139,0.0264
49,0.9822,0.0134,0.0120
50,0.9937,0.0127,0.0232
51,0.9880,0.0195,0.0200
52,0.9888,0.0046,0.0107
53,0.9868,0.0225,0.0251
54,0.9832,0.0146,0.0120
55,0.9868,0.0159,0.0269
56,0.9897,0.0142,0.0115
57,0.9937,-0.0220,0.0251
58,0.9734,-0.0691,0.0125
59,0.9937,0.0422,0.0400
60,1.0015,0.0566,0.0393
61,0.9656,-0.1907,-0.0332
62,0.9790,-0.0405,0.0554
63,1.0139,0.1465,0.0435
64,0.9634,-0.2109,-0.0002
65,0.9761,-0.0757,-0.0110
66,1.0164,0.1638,0.0962
67,0.9819,-0.1646,-0.0276
68,0.9497,-0.2041,-0.0081
69,1.0310,0.1943,0.0791
70,0.9927,-0.1733,-0.0015
71,0.9412,-0.2327,-0.0303
72,1.0269,0.0989,0.1218
73,0.9868,-0.2263,0.0034
74,0.9604,-0.3970,-0.0354
75,1.0220,0.0823,0.0857
76,0.9802,-0.3767,0.0249
77,0.9634,-0.5259,-0.0149
78,0.9988,-0.0742,0.0745
79,0.9976,-0.4019,0.0559
80,0.9429,-0.7251,-0.0652
81,0.9888,-0.2156,0.0938
82,0.9995,-0.3523,0.0859
83,0.9333,-0.7317,-0.0850
84,0.9822,-0.4287,0.0793
85,0.9634,-0.3789,0.0781
86,1.0244,-0.5220,-0.0134
87,0.9451,-0.5178,0.0293
88,0.9958,-0.4719,0.0181
89,0.9548,-0.3391,0.0542
90,1.0454,-0.4937,0.0132
91,0.9509,-0.6067,0.0369
92,0.9841,-0.3225,0.0288
93,1.0349,-0.4290,0.0793
94,0.9363,-0.7612,-0.0510
95,1.0024,-0.4595,0.0776
96,0.9985,-0.4990,0.0647
97,0.9653,-0.8325,-0.0381
98,0.9822,-0.4973,0.0962
99,1.0093,-0.5708,0.0493
100,0.9236,-1.0530,-0.0159
101,1.0222,-0.5071,0.0232
102,1.0142,-0.5913,0.1526
103,0.9421,-0.9993,-0.0776
104,1.0278,-0.7456,0.0598
105,1.0486,-0.4939,0.2253
106,0.7993,-1.1099,-0.1926
107,1.1062,-0.6975,0.1240
108,1.0359,-0.5532,0.1575
109,0.7847,-1.1421,-0.1191
110,1.1626,-0.4966,0.1462
111,0.9744,-0.8948,0.0120
112,0.8218,-0.9722,-0.0173
113,1.1589,-0.3792,0.1274
114,0.9810,-0.9731,0.0234
115,0.8345,-0.9448,-0.0537
116,1.0740,-0.4534,0.1960
117,1.0493,-0.5906,0.0613
118,0.8345,-1.2007,-0.1104
119,1.0737,-0.5542,0.1655
120,1.0144,-0.4465,0.1028
121,0.9412,-1.0979,-0.0381
122,0.9927,-0.7749,0.0637
123,0.9919,-0.4688,0.1274
124,1.0447,-0.9065,0.0073
125,0.8953,-0.9680,0.0488
126,0.9937,-0.3535,0.0530
127,1.0662,-0.9368,0.0332
128,0.9568,-0.9387,-0.0459
129,0.8787,-0.5930,0.1179
130,1.0737,-0.7124,-0.0271
131,0.9800,-1.1733,0.0071
132,0.9185,-0.6277,0.0974
133,1.0144,-0.9944,0.0486
134,0.9917,-1.0171,0.0269
135,0.9597,-0.7805,0.0659
136,0.9548,-0.9299,0.0720
137,1.0164,-1.1965,-0.0073
138,0.9197,-0.8665,0.0798
139,1.0913,-0.7593,0.0823
140,0.8853,-1.1890,0.0430
141,0.9907,-1.0845,0.0151
142,0.9985,-0.8599,0.1594
143,1.0056,-0.9348,0.0054
144,0.9392,-1.1614,0.1350
145,0.9529,-1.0608,0.0422
146,0.9529,-0.8508,-0.0232
147,1.0923,-1.1323,0.2202
148,0.9038,-1.0562,-0.0134
149,0.8538,-1.2727,-0.0112
150,1.2458,-0.6243,0.0828
151,0.8257,-1.2817,0.0942
152,0.9822,-1.3059,-0.0586
153,1.0544,-0.9348,0.1277
154,1.0310,-0.7180,0.0588
155,0.8328,-1.3987,0.0530
156,1.0991,-1.1323,-0.0488
157,0.9341,-0.5837,0.1370
158,0.9888,-1.0103,-0.0669
159,0.9683,-1.4048,0.0127
160,0.9536,-0.5366,0.0811
161,0.9946,-0.8052,0.0571
162,1.0327,-1.0229,-0.0344
163,0.8491,-1.2241,0.0906
164,1.0366,-0.6782,0.0972
165,1.0222,-0.5742,0.0720
166,0.9624,-1.0835,-0.0227
167,1.0063,-1.1470,0.0891
168,0.9697,-0.6274,0.0137
169,1.0857,-0.5383,0.0398
170,1.0896,-1.0159,0.0564
171,0.8003,-1.0933,-0.0137
172,1.0652,-0.5042,0.1892
173,1.1062,-0.5225,0.0474
174,0.8618,-1.2603,0.0244
175,1.0115,-0.6155,0.0405
176,1.0173,-0.5129,0.0237
177,1.0249,-0.6499,-0.0229
178,0.8491,-0.8960,0.0747
179,1.0161,-0.7271,0.0674
180,1.0886,-0.3887,0.1382
181,0.8738,-0.6594,-0.0291
182,0.8982,-1.0745,0.0430
183,1.1628,-0.2317,-0.0002
184,1.0144,-0.7903,0.1082
185,0.8931,-0.7563,0.0139
186,0.9419,-0.6235,0.0017
187,1.1421,-0.4106,0.1711
188,0.8669,-0.6672,0.0667
189,0.9480,-1.0042,-0.1077
190,1.1746,-0.2346,0.0828
191,0.9370,-0.2290,-0.0378
192,0.9343,-1.1331,0.0366
193,1.0544,-0.3059,0.0322
194,0.9714,-0.0771,0.0232
195,1.0581,-0.7290,-0.0037
196,0.8669,-0.7083,-0.0625
197,0.9534,0.0251,0.0737
198,1.0669,-0.3472,-0.0352
199,0.9539,-0.8196,-0.0056
200,0.9673,-0.2046,0.0630
201,1.0210,-0.1860,0.0564
202,0.9868,-0.3950,-0.0537
203,0.8081,-0.7192,0.0281
204,1.0974,0.2192,0.0635
205,0.9929,-0.4395,-0.0527
206,0.9565,-0.4744,-0.0298
207,0.8718,-0.1721,0.2024
208,0.9636,-0.1003,0.0046
209,1.1003,-0.3125,-0.0200
210,0.9128,-0.3782,0.1223
211,0.9058,-0.1079,0.1086
212,1.1030,-0.0242,0.1008
213,0.9441,-0.3623,-0.0188
214,0.9187,-0.2598,0.0142
215,1.0164,-0.0051,0.1057
216,1.0532,-0.0247,-0.0557
217,0.9224,-0.3367,0.0640
218,0.9458,-0.2378,0.0010
219,1.0776,-0.0776,0.0134
220,1.0378,-0.0359,0.1550
221,0.8716,-0.2817,-0.0593
222,1.0271,-0.3528,0.0396
223,1.0630,0.0698,-0.0310
224,0.9021,-0.1458,0.0176
225,1.1489,-0.1323,0.1743
226,0.8228,-0.3123,-0.1162
227,0.9946,0.1240,0.1292
228,1.1160,0.0933,0.1248
229,0.7532,-0.5413,-0.0601
230,1.0825,0.1648,0.1436
231,1.0652,0.3530,0.0430
232,0.8318,-0.3850,0.0027
233,1.0378,-0.2412,0.1377
234,1.0925,0.2700,-0.0164
235,0.8757,0.0020,0.0103
236,1.0386,-0.3589,0.0781
237,1.0054,0.2275,0.2019
238,0.9500,0.0796,-0.1755
239,1.0583,-0.1628,0.0007
240,1.0376,0.0315,-0.0095
241,0.9724,-0.1038,-0.0298
242,1.1531,0.1685,-0.0515
243,0.9958,0.0442,0.1628
244,0.9390,-0.0952,-0.0820
245,1.1755,0.1887,0.1262
