Sample,X,Y,Z
0,0.9917,0.0125,0.0225
1,0.9851,0.0210,0.0200
2,0.9871,0.0083,0.0125
3,0.9861,0.0083,0.0283
4,0.9812,0.0117,0.0083
5,0.9897,0.0129,0.0310
6,0.9832,0.0063,0.0105
7,0.9956,0.0073,0.0249
8,0.9875,0.0149,0.0142
9,0.9880,0.0046,0.0168
10,0.9868,0.0154,0.0227
11,0.9888,0.0078,0.0107
12,0.9841,0.0115,0.0278
13,0.9812,0.0120,0.0122
14,0.9927,0.0103,0.0269
15,0.9829,0.0098,0.0100
16,0.9929,0.0083,0.0212
17,0.9849,0.0093,0.0159
18,0.9871,0.0110,0.0171
19,0.9832,0.0117,0.0210
20,0.9861,0.0110,0.0110
21,0.9910,0.0112,0.0266
22,0.9812,0.0024,0.0129
23,0.9949,0.0078,0.0305
24,0.9832,0.0142,0.0154
25,0.9900,0.0146,0.0254
26,0.9861,0.0107,0.0164
27,0.9888,0.0056,0.0120
28,0.9849,0.0183,0.0281
29,0.9824,0.0110,0.0056
30,0.9929,0.0112,0.0276
31,0.9812,0.0142,0.0146
32,0.9946,0.0137,0.0264
33,0.9890,0.0151,0.0125
34,0.9890,0.0020,0.0222
35,0.9878,0.0198,0.0227
36,0.9861,0.0146,0.0103
37,0.9822,0.0137,0.0256
38,0.9839,0.0105,0.0073
39,0.9968,0.0139,0.0291
40,0.9819,0.0144,0.0063
41,0.9937,0.0063,0.0239
42,0.9822,0.0117,0.0203
43,0.9907,0.0122,0.0183
44,0.9832,0.0166,0.0208
45,0.9871,0.0115,0.0105
46,0.9871,0.0142,0.0281
47,0.9802,0.0134,0.0078
48,0.9939,0.0151,0.0269
49,0.9841,0.0149,0.0125
50,0.9897,0.0149,0.0308
51,0.9814,0.0117,0.0186
52,0.9888,0.0078,0.0190
53,0.9780,0.0134,0.0261
54,0.9851,0.0081,0.0083
55,0.9888,0.0122,0.0305
56,0.9897,0.0032,0.0063
57,0.9810,0.0422,0.0569
58,0.9839,-0.0103,-0.0349
59,1.0115,-0.0022,-0.0146
60,0.9497,0.0532,0.0544
61,0.9546,-0.0388,-0.0034
62,1.0505,0.0671,-0.1550
63,0.9663,0.0056,-0.0679
64,0.9175,-0.0496,0.0972
65,0.9927,0.0642,-0.1116
66,1.0984,0.0435,-0.3269
67,0.9294,-0.0518,-0.1001
68,0.9500,-0.0093,0.0830
69,0.9390,0.0398,-0.1604
70,1.0815,0.0393,-0.4417
71,0.9790,-0.0547,-0.1067
72,0.9031,-0.0071,0.0264
73,1.0229,0.0093,-0.1760
74,1.0134,0.0493,-0.4595
75,0.9460,-0.0574,-0.1855
76,0.9500,0.0088,0.1038
77,1.0454,0.0891,-0.2795
78,0.9497,-0.1890,-0.4905
79,1.0183,0.1147,-0.0559
80,0.9695,0.0415,-0.0850
81,0.9675,-0.1672,-0.4526
82,1.0854,0.1228,-0.1648
83,0.8853,-0.0815,-0.2034
84,0.9868,-0.0063,-0.3313
85,1.0581,0.1008,-0.2778
86,0.8923,-0.1646,-0.2112
87,0.9712,0.0225,-0.3164
88,1.0164,0.1172,-0.3032
89,0.9556,-0.1033,-0.2578
90,0.9888,0.0232,-0.2639
91,0.9548,-0.0225,-0.3804
92,1.0105,-0.0332,-0.1528
93,1.0024,0.1655,-0.3049
94,0.8708,-0.2688,-0.5728
95,1.1362,0.2205,-0.0691
96,0.8833,0.0044,-0.2461
97,0.9136,-0.2729,-0.6194
98,1.1597,0.3044,-0.4631
99,0.8755,-0.0759,-0.2883
100,0.9341,-0.1033,-0.4719
101,1.0339,-0.0251,-0.6504
102,1.0173,0.1172,-0.5210
103,0.9038,-0.0461,-0.5222
104,0.9636,-0.0320,-0.5493
105,1.0698,-0.0249,-0.6140
106,0.9722,0.0037,-0.5442
107,0.8982,-0.0771,-0.7192
108,1.0271,-0.0017,-0.4937
109,1.0251,0.2085,-0.5515
110,0.8394,-0.3477,-0.5911
111,1.0593,0.1187,-0.6187
112,0.9626,-0.0015,-0.6714
113,0.9663,0.0632,-0.6174
114,0.9412,-0.1768,-0.6655
115,0.9990,0.0149,-0.5706
116,0.9812,0.0427,-0.7290
117,0.9158,-0.1902,-0.7432
118,1.0486,0.1975,-0.7188
119,0.8950,-0.1724,-0.7288
120,1.0435,0.0325,-0.6174
121,0.9275,-0.1360,-0.8267
122,0.9644,0.0146,-0.9192
123,1.0193,0.0715,-0.7104
124,0.9478,-0.0959,-0.5422
125,1.0220,-0.0547,-0.7991
126,0.9224,-0.1152,-0.9006
127,1.0593,0.1682,-0.6860
128,0.8921,-0.1628,-0.6467
129,1.0269,-0.0574,-0.7561
130,0.9839,0.0476,-0.7234
131,0.9038,-0.1035,-0.8323
132,0.9675,0.0129,-0.7212
133,1.0203,-0.0107,-0.8911
134,0.9841,-0.1086,-0.8579
135,0.9380,-0.0068,-0.9231
136,0.9868,-0.0439,-0.8840
137,0.9878,-0.1125,-0.9622
138,1.2068,0.1467,-0.6694
139,1.1343,-0.1375,-0.8948
140,0.9822,-0.2666,-1.0786
141,0.7954,-0.0708,-0.4465
142,0.8887,0.2742,-1.7734
143,1.0483,0.0298,-0.7717
144,0.8171,-0.3682,-0.4746
145,0.9741,-0.0991,-1.0051
146,1.1755,0.2241,-1.4028
147,0.8279,-0.0977,-0.4617
148,0.8999,-0.0452,-0.6331
149,1.0020,0.0613,-0.8127
150,0.9985,-0.0740,-1.0159
151,0.8743,-0.1367,-0.8999
152,1.0005,0.1628,-0.6497
153,0.8667,-0.0667,-0.8206
154,0.9702,-0.0811,-0.8713
155,0.9644,0.0625,-0.7317
156,0.8015,-0.0486,-0.5259
157,0.8845,-0.0425,-0.8745
158,1.0320,0.0366,-1.0122
159,0.9939,-0.1433,-0.7505
160,0.9402,0.1052,-0.7407
161,0.9568,-0.0210,-0.5679
162,0.9253,-0.0864,-0.6682
163,1.0776,0.1472,-0.5569
164,0.9509,-0.1331,-0.8442
165,1.0117,-0.1541,-0.8608
166,1.0076,0.2070,-0.5293
167,0.8523,0.0632,-0.4070
168,0.9363,-0.0930,-0.5806
169,1.0105,0.1152,-0.7231
170,0.9312,-0.2107,-0.7639
171,0.9595,0.1274,-0.6125
172,0.9421,0.1802,-0.4888
173,0.8230,-0.1770,-0.7104
174,1.0337,0.0879,-0.7473
175,0.9314,-0.0879,-0.8071
176,0.9343,-0.0239,-0.5610
177,0.9519,0.1558,-0.3965
178,0.9741,-0.0586,-0.6379
179,1.0474,0.0024,-0.7083
180,1.0125,-0.1614,-0.6704
181,0.9753,0.0007,-0.3784
182,0.9644,0.1887,-0.3035
183,0.9548,-0.1418,-0.6313
184,1.1062,-0.0137,-0.7710
185,0.9958,-0.0693,-0.5737
186,0.8767,-0.0576,-0.3093
187,0.9573,0.1235,-0.3911
188,1.0427,-0.0491,-0.7534
189,1.1294,-0.0747,-0.8391
190,0.9614,0.0918,-0.3518
191,0.8179,-0.0979,-0.2717
192,0.9373,0.0239,-0.5142
193,1.2183,0.0610,-0.8870
194,0.9468,-0.0413,-0.6819
