Sample,X,Y,Z
0,0.9963,0.0186,0.0298
1,0.9810,0.0168,0.0139
2,0.9910,0.0063,0.0232
3,0.9878,0.0168,0.0181
4,0.9888,0.0134,0.0232
5,0.9814,0.0127,0.0244
6,0.9810,0.0125,0.0105
7,0.9890,0.0164,0.0283
8,0.9771,0.0134,0.0110
9,0.9922,0.0132,0.0308
10,0.9878,0.0168,0.0117
11,0.9888,0.0125,0.0239
12,0.9841,0.0142,0.0227
13,0.9907,0.0095,0.0176
14,0.9871,0.0168,0.0288
15,0.9800,0.0142,0.0112
16,0.9910,0.0129,0.0288
17,0.9832,0.0110,0.0100
18,0.9956,0.0112,0.0291
19,0.9829,0.0154,0.0110
20,0.9919,0.0132,0.0254
21,0.9851,0.0098,0.0215
22,0.9878,0.0107,0.0151
23,0.9880,0.0156,0.0247
24,0.9839,0.0090,0.0095
25,0.9949,0.0122,0.0320
26,0.9822,0.0125,0.0085
27,0.9978,0.0117,0.0266
28,0.9868,0.0132,0.0156
29,0.9917,0.0054,0.0173
30,0.9868,0.0161,0.0222
31,0.9822,0.0100,0.0103
32,0.9871,0.0183,0.0251
33,0.9839,0.0142,0.0105
34,0.9949,0.0120,0.0283
35,0.9829,0.0144,0.0125
36,0.9910,0.0071,0.0264
37,0.9832,0.0110,0.0151
38,0.9929,0.0078,0.0198
39,0.9861,0.0122,0.0247
40,0.9841,0.0093,0.0093
41,0.9871,0.0154,0.0291
42,0.9819,0.0105,0.0122
43,0.9944,0.0137,0.0310
44,0.9805,0.0161,0.0127
45,0.9919,0.0105,0.0271
46,0.9851,0.0110,0.0134
47,0.9910,0.0151,0.0178
48,0.9841,0.0146,0.0261
49,0.9819,0.0061,0.0088
50,0.9966,0.0132,0.0312
51,0.9839,0.0125,0.0122
52,0.9939,0.0139,0.0288
53,0.9780,0.0122,0.0146
54,0.9919,0.0112,0.0247
55,0.9871,0.0098,0.0217
56,0.9839,0.0110,0.0176
57,0.9956,0.0071,0.0229
58,0.9705,0.0488,0.0393
59,0.9897,-0.0068,-0.0249
60,1.0027,-0.0042,-0.0278
61,0.9812,0.0420,0.0510
62,0.9470,-0.0503,0.0081
63,1.0359,0.0947,-0.0823
64,1.0034,0.0132,-0.1128
65,0.9175,-0.0894,0.0310
66,1.0024,0.0972,0.0767
67,1.0144,-0.0020,-0.2842
68,0.9939,-0.0105,-0.2129
69,0.9399,0.0435,0.2278
70,0.9128,-0.0398,-0.0356
71,1.0435,0.0054,-0.4338
72,1.0142,0.0825,-0.0449
73,0.8911,-0.0220,0.1802
74,1.0095,-0.0325,-0.2368
75,1.0532,0.0242,-0.3635
76,0.9089,-0.0103,0.1030
77,0.9548,0.0325,0.0435
78,1.0461,0.0193,-0.4087
79,0.9946,-0.0269,-0.1504
80,0.9167,-0.0220,0.1787
81,1.0454,0.0051,-0.3035
82,1.0593,0.0037,-0.3462
83,0.9109,0.0288,0.1069
84,0.9587,-0.0439,-0.1440
85,1.0190,-0.0095,-0.3274
86,1.0564,0.0791,-0.1052
87,0.8472,-0.1597,-0.0715
88,1.0396,0.1472,-0.1877
89,1.0232,0.0576,-0.1592
90,0.9470,-0.2444,-0.2368
91,1.0203,0.1787,0.0090
92,0.9246,-0.0107,-0.2153
93,1.0164,-0.0989,-0.2026
94,1.0679,0.2273,-0.2007
95,0.8240,-0.2910,-0.1550
96,1.0945,0.1301,-0.1150
97,1.0085,0.1646,-0.3940
98,0.8101,-0.2932,-0.2688
99,1.1235,0.2134,-0.1174
100,0.9548,0.0195,-0.3291
101,0.9548,-0.1560,-0.4800
102,0.9673,0.0305,-0.2034
103,0.9851,0.1125,-0.2883
104,1.0251,-0.0393,-0.4326
105,0.9753,-0.0818,-0.3904
106,0.9272,-0.0022,-0.1875
107,0.9841,0.0513,-0.3091
108,1.0447,0.0552,-0.4761
109,0.9353,-0.1675,-0.3896
110,0.9490,0.0806,-0.1841
111,1.0083,0.0598,-0.2786
112,0.9812,-0.1191,-0.5747
113,0.9800,-0.0237,-0.4397
114,0.9722,0.1289,-0.1780
115,0.9507,-0.0630,-0.3577
116,1.0151,-0.0876,-0.5823
117,0.9663,0.0303,-0.5164
118,0.9985,-0.0090,-0.2893
119,0.9792,0.1221,-0.2136
120,0.8804,-0.2683,-0.7659
121,1.0864,0.0283,-0.4231
122,1.0659,0.3445,-0.2864
123,0.7310,-0.5034,-0.4456
124,1.1265,0.1875,-0.4338
125,0.9993,0.1406,-0.5122
126,0.8608,-0.2449,-0.4221
127,1.0933,0.1213,-0.2463
128,0.9001,-0.1057,-0.4927
129,1.0444,0.0542,-0.5745
130,0.9585,0.0210,-0.3369
131,0.8601,-0.1340,-0.4556
132,1.0896,0.0913,-0.5190
133,0.9448,0.0530,-0.5862
134,0.8901,-0.2163,-0.4407
