Sample,X,Y,Z
178,0.9048,-1.0864,0.0710
179,1.0486,-0.2776,0.1125
180,1.0330,-0.8870,-0.0095
181,0.9832,-0.9202,0.0212
182,0.9705,-0.4836,0.1846
183,1.0281,-0.8313,-0.0037
184,1.0308,-0.7710,-0.0969
185,0.9949,-0.3157,0.2429
186,0.8911,-0.9038,-0.0562
187,0.9958,-0.8958,-0.1538
188,1.1072,-0.0137,0.2356
189,0.8442,-0.9263,0.0784
190,0.9075,-0.9644,-0.1453
191,1.1577,-0.0789,0.1487
192,0.9976,-0.4380,0.1101
193,0.8237,-1.2739,-0.0476
194,1.0845,-0.2300,0.0845
195,1.0671,-0.1350,0.1033
196,0.8494,-1.2288,-0.1174
197,1.0007,-0.6204,0.1296
198,1.1121,0.1533,0.0686
199,1.0496,-0.9377,-0.0188
200,0.9585,-1.0073,0.0371
201,0.8599,-0.1086,0.1372
202,1.2397,-0.2646,0.0847
203,0.8923,-1.0852,0.0869
204,0.8735,-0.5444,0.0471
205,1.1714,-0.2734,0.0046
206,0.9839,-0.4771,0.0964
207,0.7915,-0.9409,0.0347
208,1.1001,-0.4961,-0.0212
209,1.1626,-0.1038,0.1846
210,0.7476,-0.9604,-0.0916
211,0.9360,-0.7495,0.0234
212,1.1638,-0.1189,0.0740
213,0.8940,-0.6108,-0.0371
214,0.9968,-0.5955,0.0176
215,0.9937,-0.4321,0.0591
216,0.8882,-0.3125,-0.0444
217,0.9919,-0.4233,0.0720
218,0.9868,-0.4927,0.0254
219,0.9272,-0.2646,0.0090
220,1.0222,-0.2607,0.0559
221,0.9399,-0.3296,-0.0078
222,0.8660,-0.4006,0.0396
223,1.1948,-0.0332,0.1177
224,0.9097,-0.2554,0.0386
225,0.9060,-0.5256,-0.0059
226,1.0945,-0.1140,0.1748
227,0.9021,-0.0862,-0.0757
228,1.0457,-0.2209,0.0708
229,0.9871,-0.5103,-0.1304
230,0.9155,0.0137,0.0796
231,1.1558,0.2070,0.2046
232,0.8318,-0.9065,-0.1880
233,1.0261,-0.0325,0.0994
