Sample,X,Y,Z
177,0.9148,0.0737,-0.6636
178,1.0659,-0.1228,-1.0637
179,1.0210,-0.0779,-0.8079
180,0.9585,0.2473,-0.5579
181,0.9077,-0.0903,-0.7424
182,0.9929,0.0532,-0.5310
183,0.9880,-0.1467,-0.6245
184,1.0532,-0.0049,-0.7932
185,0.9224,-0.0935,-0.5657
186,0.9861,0.1570,-0.3394
187,0.9546,0.0122,-0.6028
188,1.0024,-0.1626,-0.7532
189,1.0369,-0.0022,-0.5767
190,0.8628,0.0427,-0.3806
191,0.9585,0.2190,-0.4524
192,0.9548,-0.1526,-0.6909
193,1.1021,-0.1042,-0.8069
194,0.9312,0.0071,-0.5227
195,0.8718,-0.0178,-0.4292
196,0.9849,0.1323,-0.4719
197,1.1287,-0.0759,-0.8364
198,0.9998,-0.1292,-0.7090
199,0.9148,0.1106,-0.2876
200,0.8813,-0.0210,-0.3125
201,1.0251,0.0769,-0.6855
202,1.1304,-0.0981,-0.9065
203,0.9546,0.0701,-0.4475
204,0.7739,-0.0132,-0.0801
205,0.8833,-0.0894,-0.4827
206,1.2925,0.0317,-0.9919
207,1.0583,0.0420,-0.7368
208,0.7439,-0.1101,-0.0564
209,0.8914,-0.0330,-0.2148
210,1.1960,-0.0020,-0.9761
211,1.1284,-0.0784,-1.0471
212,0.8357,0.1135,0.0471
213,0.7749,-0.0305,-0.1943
214,1.0642,-0.2537,-1.0464
215,1.2349,0.1277,-0.9915
216,0.7319,0.0740,-0.1001
217,0.8628,0.0623,0.0911
218,1.0632,-0.2473,-1.0054
219,1.1528,-0.1592,-0.9651
220,0.8884,0.4927,-0.2036
221,0.7593,-0.1938,0.2512
222,1.2056,-0.1768,-0.9055
223,0.9702,-0.1770,-1.0491
224,0.8445,0.4429,-0.1206
225,0.7957,-0.1477,0.3110
226,1.0554,-0.3264,-1.2183
227,1.0105,0.1035,-0.5942
228,0.8608,0.2439,-0.0984
229,0.9741,-0.2043,-0.3206
230,1.0835,-0.3718,-0.9534
231,1.0359,0.3589,-0.5513
232,0.8130,-0.0334,0.0664
233,0.9653,-0.2554,-0.4524
234,1.1560,0.0215,-0.8657
235,0.8005,0.0601,-0.3892
236,0.9441,0.0110,0.2712
237,1.0808,-0.1995,-0.9136
238,0.9968,-0.0598,-0.6782
239,0.8464,0.3232,0.0662
240,1.0369,-0.1685,-0.4185
241,1.2017,-0.1069,-0.9036
242,0.9314,0.1333,-0.2759
243,0.9705,0.0220,-0.0659
244,1.1040,-0.0298,-0.8469
245,0.9409,-0.0161,-0.5979
246,0.8484,0.0737,0.0222
247,1.1169,0.1064,-0.3794
248,1.0828,-0.1975,-0.9067
249,0.9705,0.0208,-0.2551
250,1.0056,0.0271,-0.2292
251,1.0330,0.0627,-0.8677
252,0.8337,-0.0989,-0.3188
253,0.9277,0.1138,-0.2185
254,1.0835,0.1560,-0.6565
255,0.7693,-0.2246,-0.6128
256,0.9810,0.2751,-0.1079
257,0.9399,-0.0015,-0.4104
258,0.8591,-0.1123,-0.6851
259,1.0652,0.1704,0.0273
260,0.9575,-0.1169,-0.3792
261,1.0454,0.0720,-0.6340
262,0.9568,-0.0774,0.0435
263,0.9976,-0.1160,-0.3479
264,0.9666,0.1301,-0.6411
265,0.8979,0.0288,0.1909
266,0.9021,-0.1707,-0.3364
267,1.0454,0.2041,-0.6946
268,0.9526,-0.1067,0.2195
269,0.9060,0.1460,-0.0491
270,1.0249,-0.1243,-0.5920
271,1.1160,0.0508,0.1562
272,0.8071,-0.0127,-0.1567
273,1.2339,-0.0181,-0.2727
274,1.0876,0.0466,0.1731
275,0.7869,-0.0159,-0.1013
276,1.1746,0.0491,-0.0120
277,1.0728,0.1604,0.4160
278,1.0376,-0.1677,-0.2522
279,1.1880,-0.2334,-0.5784
280,0.9919,0.4683,1.1619
281,0.8601,-0.1875,-0.1758
282,1.3608,-0.1138,-0.7649
283,0.7876,0.2981,0.9458
284,0.8953,-0.2268,-0.2432
285,1.5525,0.1731,-0.4702
286,0.4822,0.0400,0.8679
287,1.0776,-0.1724,-0.2073
288,1.6697,0.1494,-0.5581
289,0.3611,-0.3176,1.1492
290,1.1763,-0.0825,-0.0037
291,1.6492,0.3921,-0.9028
292,0.3779,-0.4929,1.3979
293,1.0151,0.0479,0.0093
294,1.5330,0.3701,-0.5356
295,0.8291,0.1135,0.9116
296,0.7361,-0.9927,-0.0127
297,1.6431,1.2068,-0.3333
298,0.5942,-0.1853,0.7246
