Sample,X,Y,Z
0,0.9878,0.0178,0.0239
1,0.9900,0.0115,0.0144
2,0.9871,0.0176,0.0286
3,0.9878,0.0168,0.0071
4,0.9871,0.0139,0.0254
5,0.9849,0.0129,0.0076
6,0.9968,0.0198,0.0227
7,0.9866,0.0146,0.0161
8,0.9868,0.0076,0.0198
9,0.9888,0.0171,0.0227
10,0.9839,0.0139,0.0120
11,0.9849,0.0178,0.0259
12,0.9841,0.0076,0.0125
13,0.9890,0.0127,0.0273
14,0.9890,0.0183,0.0144
15,0.9900,0.0100,0.0276
16,0.9856,0.0137,0.0164
17,0.9871,0.0103,0.0215
18,0.9861,0.0195,0.0249
19,0.9851,0.0093,0.0122
20,0.9849,0.0166,0.0288
21,0.9829,0.0151,0.0122
22,0.9910,0.0129,0.0271
23,0.9841,0.0120,0.0156
24,0.9897,0.0149,0.0203
25,0.9832,0.0171,0.0176
26,0.9897,0.0103,0.0178
27,0.9880,0.0166,0.0269
28,0.9829,0.0159,0.0161
29,0.9832,0.0181,0.0271
30,0.9839,0.0107,0.0122
31,0.9937,0.0117,0.0261
32,0.9900,0.0132,0.0137
33,0.9900,0.0144,0.0205
34,0.9819,0.0117,0.0205
35,0.9878,0.0139,0.0195
36,0.9849,0.0168,0.0259
37,0.9819,0.0051,0.0090
38,0.9885,0.0212,0.0281
39,0.9822,0.0115,0.0120
40,0.9917,0.0110,0.0259
41,0.9849,0.0181,0.0210
42,0.9839,0.0073,0.0178
43,0.9861,0.0154,0.0232
44,0.9861,0.0132,0.0161
45,0.9841,0.0132,0.0273
46,0.9839,0.0083,0.0100
47,0.9868,0.0134,0.0276
48,0.9829,0.0159,0.0149
49,0.9919,0.0044,0.0222
50,0.9832,0.0164,0.0203
51,0.9927,0.0159,0.0220
52,0.9839,0.0115,0.0247
53,0.9871,0.0098,0.0125
54,0.9890,0.0178,0.0266
55,0.9802,0.0127,0.0105
56,0.9956,0.0115,0.0254
57,1.0007,-0.0073,0.0051
58,0.9736,0.0840,0.0801
59,0.9683,-0.0498,-0.1233
60,1.0513,0.0056,0.0010
61,1.0044,0.1443,0.0374
62,0.8376,-0.2209,-0.1860
63,1.1648,0.2471,-0.1060
64,0.9539,0.0439,-0.1416
65,0.8953,-0.2346,-0.1660
66,1.1362,0.2517,-0.3459
67,0.9031,-0.0337,-0.3096
