Sample,X,Y,Z
177,0.9663,-0.0576,-0.6477
178,0.9497,-0.0698,-0.6936
179,0.9536,-0.0688,-0.5667
180,1.0122,0.1201,-0.6047
181,0.8618,-0.0698,-0.6467
182,1.0044,-0.0249,-0.6887
183,0.9841,0.0134,-0.7085
184,1.0466,-0.1257,-0.7114
185,1.1821,0.0886,-0.4905
186,0.9771,-0.0881,-0.6252
187,1.0066,-0.0454,-0.6675
188,0.9248,-0.0203,-0.4612
189,0.9443,0.0205,-0.7668
190,0.9995,-0.1450,-0.9729
191,1.0405,0.0254,-0.3596
192,0.9900,0.0737,-0.6147
193,0.8552,-0.1516,-0.6694
194,0.9685,0.1013,-0.5679
195,0.9871,-0.1521,-0.6499
196,1.0942,0.1052,-0.7561
197,0.8762,-0.1016,-0.6782
198,1.0017,0.1489,-0.5327
199,0.9272,-0.0669,-0.6145
200,0.9878,-0.1013,-0.6428
201,0.9275,-0.1155,-0.6919
202,1.0652,0.0142,-0.6108
203,0.8962,0.2085,-0.4448
204,0.7935,-0.3628,-0.5774
205,1.1941,0.2144,-0.7261
206,0.9382,-0.0225,-0.7915
207,0.8589,-0.2700,-0.4602
208,0.9731,0.3240,-0.2668
209,0.8843,-0.0234,-0.6907
210,1.0474,-0.1707,-0.8635
211,1.1941,0.0725,-0.6294
212,0.7749,-0.3140,-0.3281
213,0.9128,0.2249,-0.2495
214,1.0649,0.0613,-0.7815
215,1.0486,-0.2209,-1.0806
216,1.0474,0.0540,-0.3577
217,0.7048,-0.0647,-0.1377
218,0.8835,-0.0117,-0.4673
219,1.1899,0.1667,-1.0833
220,1.0417,-0.0686,-0.7827
221,0.8899,-0.0715,-0.0452
222,0.8247,-0.0786,-0.0161
223,1.1655,-0.0417,-0.7903
224,1.1433,-0.0964,-1.2437
225,1.0447,0.2412,-0.2983
226,0.6892,-0.0942,0.4187
227,0.7466,-0.1821,-0.6389
228,1.3003,-0.0198,-1.2825
229,1.2126,0.2734,-0.5933
230,0.5005,-0.1052,0.2600
231,0.8237,-0.0068,-0.4172
232,1.2183,-0.0161,-1.0586
233,0.9253,-0.2065,-0.7542
234,0.7009,0.3276,-0.0825
235,1.0564,0.2803,-0.0808
236,0.8745,-0.6802,-1.1350
237,1.0991,0.0229,-0.9309
238,0.9175,0.6804,0.0430
239,0.7742,-0.1689,-0.0862
240,1.0007,-0.5852,-1.1401
241,1.0737,0.3396,-0.8479
242,0.8572,0.4663,0.2317
243,0.7898,-0.4084,-0.3247
244,1.1733,-0.3823,-1.1868
245,0.9460,0.5098,-0.5151
246,0.6323,0.2043,0.3325
247,1.0320,-0.3704,-0.4829
248,1.2231,-0.1670,-1.1643
249,0.8501,0.2400,-0.3684
250,0.6987,0.2122,0.4331
251,0.9792,-0.3594,-0.8911
252,1.2722,-0.0186,-0.9946
253,0.9849,0.2195,-0.0530
254,0.8228,-0.1118,0.1375
255,1.1760,-0.1738,-1.0571
256,0.9312,0.0225,-0.5645
257,0.7837,0.2878,0.1709
258,1.1323,-0.2109,-0.4211
259,1.1697,0.0933,-0.8530
260,0.8855,-0.1702,-0.2068
261,1.1567,0.2815,0.3408
262,1.0378,-0.2976,-0.9702
263,0.7473,-0.2122,-0.4937
264,1.0017,0.6597,0.5007
265,0.8259,-0.2493,-0.6626
266,1.1765,-0.4473,-0.8745
267,1.0632,0.6006,0.1853
268,0.7771,-0.6311,-0.0425
269,1.4175,0.2461,-0.7922
270,0.7629,0.0681,-0.3494
271,0.5916,-0.2515,0.1260
272,1.1616,0.4597,-0.4802
273,0.8218,-0.3591,-0.5110
274,0.7009,0.1907,0.0483
275,1.1306,0.1997,-0.2832
276,1.0378,-0.2170,-0.5876
277,0.8364,0.0557,0.1321
278,1.2134,0.0881,-0.0828
279,1.1794,-0.2249,-0.8940
280,0.8591,0.1636,0.1174
281,0.9048,0.0491,0.2661
282,1.1062,-0.2805,-0.7495
283,0.8403,0.1277,-0.5178
284,0.9673,0.1926,0.8403
285,0.8914,-0.5247,-0.8394
286,0.8845,0.2866,-0.5115
287,0.8894,0.2373,0.9802
288,0.9263,-0.2607,-0.7024
289,1.0015,-0.2036,-0.8557
290,0.9995,0.4978,0.8296
291,1.1138,-0.1179,-0.3362
292,1.0779,-0.2551,-0.9028
293,0.9812,0.0842,0.6560
294,1.3726,0.3240,0.3354
295,0.9949,-0.6184,-0.9136
296,0.9187,0.1714,0.3699
297,1.2117,0.3987,0.5056
298,1.0398,-0.4036,-0.6313
299,0.8240,-0.0188,0.0134
300,0.9509,0.3169,0.5203
301,1.2283,0.0959,-0.4141
302,0.9236,-0.3467,-0.1931
303,0.7556,0.0339,0.5320
304,1.2788,0.4814,-0.3069
305,0.8452,-0.2292,-0.1387
306,0.7947,-0.1084,0.4841
307,1.2368,0.2373,-0.1824
308,1.0144,0.0054,-0.3035
309,0.8218,0.0505,0.6333
310,1.0925,0.0620,0.1257
311,1.0349,-0.3191,-0.4546
312,0.9958,0.2432,0.4734
313,1.0156,0.3396,0.4351
314,0.8064,-0.6497,-0.5708
315,1.0906,0.3955,0.4773
316,0.9597,0.3042,0.7380
317,0.7644,-0.5667,-0.8843
318,1.2876,0.3508,0.1860
319,0.9106,0.2976,0.7935
320,0.9126,-0.4783,-0.6702
321,1.2046,0.0754,-0.1079
322,0.9851,0.3618,0.6531
323,1.0435,-0.1611,-0.1702
324,1.1108,-0.2419,-0.1292
325,1.0691,0.0476,0.3923
326,1.0776,0.1025,-0.1379
327,0.9724,-0.1350,-0.1079
328,0.7993,0.0000,0.5522
329,1.1062,0.0681,-0.1533
330,1.0278,-0.1042,-0.3606
