Sample,X,Y,Z
0,0.9819,0.0134,0.0066
1,0.9949,0.0103,0.0342
2,0.9839,0.0122,0.0083
3,0.9939,0.0112,0.0217
4,0.9783,0.0137,0.0168
5,0.9858,0.0090,0.0166
6,0.9861,0.0188,0.0222
7,0.9849,0.0134,0.0112
8,0.9927,0.0073,0.0288
9,0.9792,0.0110,0.0078
10,0.9949,0.0154,0.0261
11,0.9812,0.0146,0.0093
12,0.9868,0.0100,0.0220
13,0.9812,0.0098,0.0161
14,0.9897,0.0107,0.0146
15,0.9890,0.0137,0.0259
16,0.9812,0.0056,0.0090
17,0.9958,0.0142,0.0334
18,0.9802,0.0115,0.0090
19,0.9917,0.0100,0.0288
20,0.9829,0.0137,0.0103
21,0.9907,0.0120,0.0229
22,0.9790,0.0125,0.0215
23,0.9832,0.0115,0.0166
24,0.9880,0.0127,0.0244
25,0.9819,0.0103,0.0120
26,0.9958,0.0137,0.0332
27,0.9810,0.0125,0.0090
28,0.9929,0.0100,0.0291
29,0.9792,0.0186,0.0107
30,0.9910,0.0090,0.0193
31,0.9858,0.0171,0.0232
32,0.9812,0.0193,0.0100
33,0.9919,0.0161,0.0283
34,0.9841,0.0129,0.0083
35,0.9976,0.0125,0.0334
36,0.9810,0.0154,0.0066
37,0.9917,0.0125,0.0269
38,0.9800,0.0168,0.0168
39,0.9858,0.0098,0.0139
40,0.9871,0.0137,0.0215
41,0.9819,0.0120,0.0073
42,0.9900,0.0164,0.0286
43,0.9832,0.0149,0.0095
44,0.9968,0.0151,0.0322
45,0.9812,0.0129,0.0103
46,0.9919,0.0154,0.0237
47,0.9766,0.0159,0.0220
48,0.9849,0.0164,0.0156
49,0.9880,0.0134,0.0259
50,0.9841,0.0071,0.0073
51,0.9949,0.0151,0.0291
52,0.9822,0.0115,0.0085
53,0.9956,0.0146,0.0254
54,0.9800,0.0115,0.0129
55,0.9897,0.0115,0.0193
56,0.9841,0.0171,0.0217
57,0.9851,0.0107,0.0120
58,0.9893,0.0100,0.0278
59,0.9800,0.0088,0.0068
60,1.0029,0.0142,0.0310
61,0.9802,-0.0486,0.0027
62,0.9949,0.0054,0.0439
63,0.9890,0.0171,0.0112
64,0.9697,-0.1133,0.0127
65,1.0056,0.0059,0.0320
66,0.9653,-0.0449,0.0159
67,0.9966,-0.1199,0.0273
68,0.9907,-0.0227,0.0176
69,0.9771,-0.0820,0.0315
70,1.0054,-0.0906,0.0242
71,0.9587,-0.0623,0.0068
72,0.9919,-0.1370,0.0281
73,1.0005,-0.0591,0.0178
74,0.9783,-0.0598,0.0430
75,0.9661,-0.1887,-0.0239
76,1.0103,-0.0605,0.0688
77,0.9849,-0.0310,0.0278
78,0.9526,-0.2534,-0.0342
79,1.0115,-0.0146,0.0701
80,0.9995,-0.1006,-0.0063
81,0.9451,-0.1824,0.0371
82,1.0076,-0.0195,0.0110
83,0.9880,-0.2102,0.0422
84,0.9294,-0.1191,-0.0144
85,1.0691,0.0242,0.0925
86,0.9351,-0.2349,-0.0408
87,0.9958,-0.1758,0.0535
88,1.0024,-0.0227,0.0530
89,0.9478,-0.2056,-0.0337
90,1.0405,-0.1472,0.0818
91,0.9314,-0.1985,-0.0134
92,1.0176,-0.0935,0.0803
93,0.9868,-0.2129,-0.0354
94,0.9565,-0.3853,0.0344
95,1.0007,-0.0054,0.0728
96,1.0193,-0.1506,0.0068
97,0.9253,-0.5854,-0.0503
98,0.9907,-0.1125,0.1187
99,1.0417,0.0256,0.0229
100,0.9294,-0.6204,-0.0576
101,0.9976,-0.1624,0.0496
102,0.9763,-0.1843,0.0732
103,1.0398,-0.3508,-0.0208
104,0.9370,-0.2429,0.0256
105,0.9919,-0.2551,0.0684
106,0.9946,-0.2473,0.0173
107,1.0330,-0.1338,0.0276
108,0.9158,-0.4827,0.0149
109,1.0103,-0.1626,0.0266
110,1.0425,0.0437,0.1011
111,0.9380,-0.4683,-0.0977
112,0.9790,-0.3250,0.1355
113,0.9849,0.0969,0.0117
114,1.0203,-0.3196,-0.0002
115,0.9324,-0.3186,0.0164
116,1.0161,-0.0132,0.0830
117,0.9858,-0.2690,0.0278
118,0.9790,-0.1733,-0.0393
119,0.9822,-0.1045,0.1038
120,0.9841,-0.2698,-0.0146
121,1.0105,-0.0703,0.0234
122,0.9604,-0.1138,0.0393
123,0.9695,-0.3015,-0.0068
124,1.0164,-0.0801,0.0667
125,0.9578,-0.0417,-0.0012
126,0.9878,-0.2915,-0.0208
127,1.0105,-0.0901,0.1033
128,0.9675,-0.1658,-0.0376
129,1.0015,-0.0759,0.0476
130,0.9868,-0.1084,-0.0076
131,0.9626,-0.3235,0.0427
132,0.9722,-0.0012,0.0120
133,1.0483,0.0608,0.0464
134,0.9353,-0.4321,-0.0146
135,0.9636,-0.1191,0.0762
136,1.0730,0.2246,0.0703
137,0.9304,-0.4277,-0.0544
138,0.9761,-0.2573,0.0430
139,1.0112,0.2507,0.1028
140,0.9976,-0.2344,-0.0398
141,0.9634,-0.3911,-0.0168
142,0.9634,0.1614,0.1272
143,1.0505,-0.0564,-0.0186
144,0.9246,-0.3342,-0.0410
145,1.0027,0.0090,0.0808
146,1.0125,-0.0728,0.0837
147,0.9666,-0.1301,-0.1296
148,1.0046,-0.0679,0.1318
149,0.9460,-0.0769,-0.0215
150,0.9937,-0.1973,0.0095
151,1.0417,0.0435,0.0251
152,0.9109,-0.1250,0.0488
153,1.0200,-0.1060,0.0002
154,1.0095,-0.0654,0.0332
155,0.9751,-0.0747,0.0303
156,0.9282,-0.2056,-0.0012
157,1.0457,-0.0059,0.0886
158,1.0054,-0.0098,0.0190
159,0.8904,-0.3928,-0.0398
160,1.0249,-0.0369,0.0784
161,1.0369,0.0510,0.0754
162,0.9302,-0.3628,-0.0920
163,0.9607,-0.2390,0.0740
164,1.0610,0.1672,0.0474
165,0.9565,-0.3660,0.0376
166,0.9314,-0.2551,-0.0630
167,1.0093,0.0537,0.0925
168,1.0659,-0.1990,-0.0159
169,0.8904,-0.3108,0.0244
170,1.0005,0.0215,0.0342
171,1.0435,-0.2739,0.0105
172,0.9773,-0.0615,0.0542
173,0.9294,-0.1548,0.0200
174,1.0229,-0.4146,-0.0081
175,1.0291,0.1592,0.0950
176,0.9731,-0.1416,0.0359
177,0.9224,-0.5896,-0.0452
178,1.0339,0.0703,0.1038
179,1.0405,0.0994,0.0610
180,0.9050,-0.6428,-0.0132
181,0.9712,-0.1143,-0.0405
182,1.0786,0.0837,0.1545
183,0.9841,-0.3018,-0.0190
184,0.8357,-0.4133,-0.0300
185,1.1587,0.1387,0.1250
186,0.9624,-0.2563,-0.0203
187,0.8806,-0.2922,-0.0286
188,1.0554,0.0103,0.1016
189,1.0366,-0.1272,-0.0164
190,0.9050,-0.3000,0.0037
191,0.9780,0.0095,0.0605
192,1.0759,0.0034,0.0693
193,0.8940,-0.4956,-0.0847
194,1.0066,0.0876,0.0835
195,1.0203,0.0471,0.0435
196,0.9380,-0.5698,-0.0820
197,1.0027,0.1133,0.1658
198,0.9802,0.0227,-0.0093
199,0.9656,-0.5569,-0.0845
200,1.0278,0.1931,0.1543
201,0.9246,-0.1155,0.0117
202,1.0073,-0.5063,-0.1138
203,1.0144,0.2231,0.1277
204,1.0112,-0.1082,0.1135
205,0.8921,-0.4185,-0.1196
206,1.0630,0.1353,0.0935
207,1.0220,0.0315,0.1050
208,0.8589,-0.4897,-0.1238
209,1.1187,-0.0840,0.1089
210,0.9753,0.1455,-0.0056
211,0.9380,-0.2495,0.0256
212,0.9705,-0.3289,0.0227
213,1.0483,0.1064,0.0457
214,0.9839,-0.1765,0.0251
215,0.9653,-0.3755,-0.0771
216,0.9783,0.0823,0.1252
217,1.0220,-0.0129,-0.0095
218,0.9480,-0.3535,-0.0078
219,0.9902,-0.0295,0.0322
220,0.9939,-0.1418,0.0854
221,0.9829,-0.1140,-0.0889
222,0.9973,-0.0459,0.1294
223,0.9958,-0.1868,-0.0195
224,0.9812,-0.2051,0.0647
225,0.9824,0.0022,-0.0388
226,1.0437,-0.2266,0.0798
227,0.9116,-0.2319,-0.0132
228,0.9956,-0.0046,0.0322
229,1.0181,-0.1462,0.0598
230,0.9402,-0.2266,-0.0615
231,1.0046,-0.0645,0.1321
232,1.0269,-0.0884,-0.0544
233,0.9468,-0.2393,0.0210
234,0.9741,-0.0796,0.0083
235,1.0222,-0.1091,0.0801
236,0.9878,-0.1533,-0.0232
237,0.9507,-0.1287,0.0454
238,1.0105,-0.2649,0.0371
239,0.9890,-0.0947,0.0161
240,0.9917,-0.1255,0.0195
241,1.0220,-0.1792,0.0503
242,0.8958,-0.1802,0.0176
243,1.0720,-0.0400,0.0684
244,0.9351,-0.2593,-0.0234
245,1.0171,-0.1772,-0.0081
246,0.9849,0.0422,0.1157
247,0.9575,-0.2114,-0.0627
248,0.9897,-0.2852,0.0894
249,1.0193,-0.0442,0.0227
250,0.9912,-0.1782,0.0735
251,0.9363,-0.2034,-0.0593
252,0.9968,-0.1372,0.0911
253,1.0308,-0.0679,0.0042
254,0.9634,-0.2097,0.0364
255,0.9990,-0.2104,-0.0212
256,0.9868,-0.1160,0.0410
257,1.0435,-0.0078,0.0054
258,0.9968,-0.3137,0.0349
259,0.9409,-0.1606,-0.0183
260,1.0583,-0.0396,0.0203
261,0.9949,-0.2170,0.0371
262,0.9468,-0.1987,-0.0178
263,1.0376,-0.0635,0.1123
264,1.0056,-0.1316,-0.0425
265,0.9392,-0.2170,0.0364
266,1.0151,-0.0410,0.0010
267,1.0183,-0.0989,0.0967
268,0.9468,-0.2017,-0.0063
269,0.9763,-0.0771,0.0732
270,1.0142,-0.2163,0.0627
271,0.9421,-0.0586,0.0044
272,0.9998,-0.1030,0.0398
273,0.9673,-0.3230,0.0774
274,0.9099,-0.0596,-0.0640
275,1.0681,0.0173,0.1165
276,0.9470,-0.2051,-0.0164
277,0.8960,-0.2373,-0.0454
278,1.0483,-0.0210,0.1350
279,0.9937,-0.0669,-0.0862
280,0.9031,-0.3401,0.0811
281,1.0525,-0.0171,0.0178
282,1.0125,-0.0610,0.0808
283,0.9253,-0.3120,-0.0510
284,1.0112,-0.1865,0.0095
285,1.0776,0.0581,0.0903
286,0.9263,-0.1147,-0.0662
287,1.0007,-0.2893,0.0720
288,1.0425,-0.0542,0.0447
289,0.9304,-0.1956,-0.0156
290,1.0688,-0.1006,0.0684
291,0.9675,-0.1672,0.0186
292,0.9663,-0.2451,0.0120
293,1.0464,-0.0388,0.0205
294,1.0007,-0.1750,0.0022
295,0.9316,-0.2859,0.0264
296,1.0500,0.0559,0.0554
297,0.9692,-0.1226,-0.0049
298,0.9714,-0.3655,-0.0181
299,0.9653,0.0093,0.1069
300,0.9829,-0.1382,-0.0112
301,0.9763,-0.1467,0.0266
302,0.9597,-0.2375,0.0579
303,0.9927,-0.1143,0.0745
304,0.9575,-0.0283,-0.0203
305,1.0044,-0.2827,0.0920
306,0.9070,-0.2686,-0.0933
307,1.0212,0.1411,0.1499
308,0.9888,-0.2114,-0.0325
309,0.9224,-0.4448,-0.0400
310,1.0425,0.1067,0.1853
311,0.9695,-0.1594,-0.0667
312,0.9207,-0.3115,0.0166
313,1.0757,0.0664,0.0781
314,0.9587,-0.2712,0.0632
315,0.9712,-0.2559,-0.1145
316,1.0386,-0.0713,0.0903
317,1.0063,-0.0710,0.0281
318,0.9204,-0.3213,0.0100
319,1.0627,-0.0754,-0.0032
320,1.0310,-0.1299,0.0815
321,0.9202,-0.2124,0.0386
322,0.9841,-0.0286,0.0056
323,1.0571,-0.2578,0.0012
324,0.9673,-0.2395,0.0388
325,0.9624,-0.0269,0.0559
326,1.0513,-0.0752,0.0105
327,0.9438,-0.2700,-0.0364
328,0.9653,-0.1436,0.0654
329,0.9771,-0.1069,-0.0017
330,1.0112,-0.1836,0.0137
331,0.9429,-0.0786,0.0454
332,1.0112,-0.0742,0.0505
333,0.9968,-0.2698,-0.0093
334,0.9419,-0.1326,0.0291
335,1.0015,0.0178,0.0859
336,0.9861,-0.2815,-0.0466
337,0.9666,-0.0959,0.0293
338,0.9927,-0.0378,0.1255
339,0.9597,-0.2043,-0.0415
340,1.0046,-0.1777,-0.0259
341,1.0105,0.0039,0.0767
342,0.9468,-0.2080,-0.0042
343,1.0171,-0.0916,0.0994
344,0.9597,-0.0979,-0.0347
345,0.9478,-0.3142,0.0425
346,1.0212,0.1323,0.0432
347,1.0200,-0.0747,-0.0144
348,0.9321,-0.5620,-0.0642
349,0.9607,0.1672,0.1521
350,1.0376,0.2087,-0.0103
351,0.9712,-0.5435,-0.0730
352,0.9683,-0.0337,0.0286
353,0.9939,-0.0710,0.0950
354,1.0222,-0.0967,-0.0098
355,0.9526,-0.0193,0.0581
356,0.9441,-0.3105,0.0662
357,1.0776,0.0261,-0.0549
358,0.9595,-0.0366,0.0576
359,0.9126,-0.3120,-0.0359
360,1.0242,0.0317,0.1211
