Sample,X,Y,Z
0,0.9839,0.0217,0.0239
1,0.9888,0.0122,0.0117
2,0.9829,0.0129,0.0259
3,0.9858,0.0188,0.0088
4,0.9917,0.0200,0.0273
5,0.9851,0.0137,0.0112
6,0.9949,0.0129,0.0261
7,0.9880,0.0259,0.0171
8,0.9880,0.0115,0.0168
9,0.9849,0.0210,0.0220
10,0.9858,0.0166,0.0122
11,0.9800,0.0193,0.0259
12,0.9846,0.0171,0.0090
13,0.9890,0.0190,0.0276
14,0.9863,0.0210,0.0112
15,0.9900,0.0132,0.0256
16,0.9841,0.0159,0.0164
17,0.9937,0.0190,0.0200
18,0.9832,0.0195,0.0261
19,0.9849,0.0093,0.0168
20,0.9871,0.0171,0.0239
21,0.9868,0.0156,0.0120
22,0.9890,0.0164,0.0300
23,0.9841,0.0151,0.0107
24,0.9929,0.0105,0.0271
25,0.9832,0.0186,0.0208
26,0.9880,0.0085,0.0156
27,0.9841,0.0122,0.0269
28,0.9851,0.0171,0.0112
29,0.9829,0.0122,0.0308
30,0.9868,0.0034,0.0166
31,0.9961,0.0090,0.0261
32,0.9800,0.0117,0.0134
33,0.9839,0.0032,0.0232
34,0.9839,0.0088,0.0249
35,0.9878,0.0034,0.0122
36,0.9829,0.0054,0.0220
37,0.9841,0.0059,0.0120
38,0.9910,0.0020,0.0317
39,0.9897,0.0078,0.0117
40,0.9910,0.0046,0.0266
41,0.9810,0.0093,0.0176
42,0.9890,0.0054,0.0181
43,0.9888,0.0129,0.0222
44,0.9868,0.0073,0.0149
45,0.9832,0.0134,0.0271
46,0.9858,0.0105,0.0154
47,0.9880,0.0122,0.0264
48,0.9888,0.0127,0.0090
49,0.9958,0.0110,0.0247
50,0.9829,0.0159,0.0161
51,0.9888,0.0120,0.0203
52,0.9890,0.0098,0.0205
53,0.9888,0.0117,0.0098
54,0.9841,0.0164,0.0227
55,0.9861,0.0173,0.0066
56,0.9956,-0.0029,0.0227
57,0.9832,-0.0518,0.0032
58,0.9958,-0.0488,0.0339
59,0.9849,-0.0574,0.0222
60,0.9683,-0.1094,0.0149
61,1.0142,0.0227,0.0439
62,0.9585,-0.1792,0.0168
63,0.9919,-0.2913,-0.0166
64,1.0132,-0.2163,0.0542
65,0.9792,-0.4211,0.0212
66,0.9673,-0.6519,0.0291
67,1.0115,-0.5881,0.0884
68,0.9775,-0.8726,0.0642
69,0.9380,-1.1714,0.0500
70,0.9944,-0.9836,0.0642
71,0.9792,-1.1565,0.0583
72,0.9771,-1.3481,0.1003
73,0.9458,-1.3091,-0.0259
74,1.0024,-1.1763,0.0889
75,0.9851,-1.3694,0.0254
76,0.9832,-1.2424,0.0125
77,1.0229,-1.2339,0.0527
78,1.0027,-1.1917,0.0349
79,0.9460,-1.3801,0.0898
80,1.0105,-1.3342,0.1089
81,0.9978,-1.1116,0.0625
82,0.9478,-1.3716,0.0818
83,1.0220,-1.3794,0.0857
84,0.9761,-1.3179,-0.0020
85,0.9692,-1.4380,0.0586
86,0.9705,-1.3342,0.0442
87,0.9849,-1.2974,0.1182
88,0.9128,-1.6936,0.1104
89,0.9731,-1.4946,-0.0012
90,1.0044,-1.2583,0.0483
91,0.9106,-1.6626,0.1106
92,0.9861,-1.5481,0.0615
93,1.0132,-1.3159,0.0967
94,1.0083,-1.5776,0.0254
95,0.9653,-1.5562,0.0442
96,1.0308,-1.2983,0.1128
97,0.9792,-1.6077,0.0706
98,1.0017,-1.6360,0.0288
99,0.9333,-1.4016,0.0889
100,1.0454,-1.2847,0.1340
101,1.0125,-1.5598,0.0046
102,0.9568,-1.3645,0.0603
103,0.9958,-1.2083,0.0486
104,1.0486,-1.3430,0.0396
105,0.9929,-1.3235,0.0217
106,1.0007,-1.2278,0.0801
107,1.0034,-1.0815,0.0835
108,0.9819,-1.1616,0.0579
109,0.9937,-1.1362,0.0503
110,0.9790,-1.1021,0.0747
111,1.0005,-0.9272,0.0669
112,0.9722,-0.8306,0.0750
113,0.9773,-1.0374,0.0022
114,0.9077,-0.9233,0.1428
115,0.9841,-0.5471,0.0227
116,0.9851,-1.0481,0.0486
117,0.9731,-0.8823,0.1138
118,0.9241,-0.5613,0.0574
119,1.0466,-0.7473,0.0745
120,0.9751,-0.9155,0.0771
121,0.8511,-0.6792,0.1267
122,1.0620,-0.6265,0.0193
123,0.9692,-0.7954,0.1082
124,0.8572,-0.4958,0.0251
125,1.0701,-0.7776,0.0349
126,0.9875,-0.7434,-0.0503
127,0.8745,-0.7036,-0.0166
128,0.9966,-0.6753,0.0225
129,1.0122,-0.6948,-0.0115
130,1.0574,-0.6575,0.0215
131,0.9712,-0.8315,-0.0205
132,0.9790,-0.7310,-0.0129
133,1.0750,-0.6614,0.0264
134,0.9795,-1.0259,-0.0500
135,0.9614,-0.7769,-0.0022
136,0.9753,-0.7444,0.1194
137,1.0571,-0.8081,0.0376
138,0.9761,-1.0845,0.0273
139,1.0095,-1.0237,0.0879
140,1.0317,-0.6831,0.0698
141,0.8481,-1.0640,0.1172
142,1.0005,-1.1108,0.0620
143,1.0815,-1.0229,0.1135
144,0.9548,-0.8264,0.0327
145,0.9275,-1.3352,0.0020
146,0.9695,-1.1711,0.0623
147,0.9431,-0.7922,0.1172
148,0.9351,-1.4185,0.1143
149,1.0564,-1.3137,-0.0002
150,0.8708,-1.1311,0.1431
151,1.1089,-0.8745,0.0854
152,0.9136,-1.7183,-0.0200
153,0.9509,-1.1809,0.0833
154,1.1785,-0.5010,0.1152
155,0.8289,-1.4338,-0.0400
156,0.9832,-1.2083,-0.1421
157,1.0886,-0.3899,0.1436
158,1.0161,-0.8101,0.0232
159,0.9761,-0.8491,-0.0020
160,1.1492,-0.5081,0.1023
161,1.0298,-0.5405,0.1025
162,1.0317,-0.4565,-0.0354
163,1.0544,-0.5371,-0.0754
164,1.0115,-0.4192,0.0156
165,1.0405,-0.1921,0.1265
166,1.0320,-0.3909,0.0825
167,0.9351,-0.1609,-0.0222
