Sample,X,Y,Z
0,0.9910,0.0134,0.0195
1,0.9893,0.0127,0.0220
2,0.9858,0.0129,0.0110
3,0.9868,0.0190,0.0234
4,0.9849,0.0146,0.0110
5,0.9878,0.0120,0.0249
6,0.9868,0.0164,0.0107
7,0.9958,0.0161,0.0271
8,0.9849,0.0144,0.0139
9,0.9861,0.0120,0.0200
10,0.9861,0.0210,0.0222
11,0.9780,0.0127,0.0129
12,0.9849,0.0186,0.0261
13,0.9829,0.0195,0.0127
14,0.9917,0.0198,0.0286
15,0.9832,0.0129,0.0100
16,0.9939,0.0146,0.0281
17,0.9851,0.0227,0.0144
18,0.9868,0.0078,0.0154
19,0.9897,0.0151,0.0256
20,0.9841,0.0127,0.0127
21,0.9871,0.0195,0.0293
22,0.9871,0.0144,0.0120
23,0.9922,0.0068,0.0288
24,0.9849,0.0173,0.0183
25,0.9878,0.0161,0.0215
26,0.9822,0.0129,0.0183
27,0.9897,0.0068,0.0159
28,0.9861,0.0166,0.0305
29,0.9880,0.0098,0.0127
30,0.9841,0.0095,0.0254
31,0.9829,0.0088,0.0142
32,0.9937,0.0103,0.0269
33,0.9839,0.0122,0.0149
34,0.9878,0.0132,0.0256
35,0.9819,0.0144,0.0183
36,0.9858,0.0093,0.0171
37,0.9841,0.0171,0.0276
38,0.9819,0.0105,0.0095
39,0.9851,0.0100,0.0273
40,0.9849,0.0134,0.0105
41,0.9927,0.0164,0.0286
42,0.9832,0.0146,0.0171
43,0.9910,0.0105,0.0220
44,0.9890,0.0144,0.0208
45,0.9849,0.0112,0.0122
46,0.9880,0.0203,0.0278
47,0.9819,0.0132,0.0117
48,0.9897,0.0144,0.0288
49,0.9851,0.0190,0.0132
50,0.9897,0.0154,0.0249
51,0.9851,0.0171,0.0188
52,0.9890,0.0122,0.0146
53,0.9878,0.0251,0.0244
54,0.9858,0.0171,0.0095
55,0.9858,0.0176,0.0278
56,0.9822,0.0134,0.0103
57,0.9949,0.0391,0.0435
58,1.0190,0.0034,-0.0583
59,0.9683,0.0457,-0.0242
60,0.9849,-0.0090,-0.0652
61,1.0337,0.0159,-0.0530
62,1.0366,0.0525,-0.2214
63,0.8833,-0.0188,-0.1521
64,1.0229,0.1096,-0.2737
65,1.0542,-0.0073,-0.3406
66,1.0054,-0.0400,-0.4182
67,0.8953,-0.0259,-0.3804
68,1.0847,0.2017,-0.6060
69,0.9792,-0.0381,-0.4673
70,0.9685,-0.1448,-0.5425
71,0.9167,0.0908,-0.4653
72,1.0125,0.1401,-0.7837
73,0.9646,-0.0818,-0.5269
74,0.9585,-0.0608,-0.5803
75,0.8950,0.0049,-0.5671
76,1.0327,0.2139,-0.7883
77,0.9233,-0.1489,-0.6096
78,0.9255,-0.0422,-0.6772
79,0.8999,0.0923,-0.5989
80,1.0339,0.1621,-0.9194
81,0.9106,-0.2437,-0.7581
82,0.9761,0.0273,-0.7932
83,0.8826,0.0786,-0.6997
84,1.0474,0.1523,-0.9797
85,0.8950,-0.2710,-0.8040
86,0.9937,0.0225,-0.8840
87,0.9048,0.1057,-0.7913
88,1.0308,0.0557,-1.0452
89,0.9272,-0.2124,-0.8118
90,0.9753,0.0190,-0.9175
91,0.8967,0.0601,-0.7808
92,1.0493,0.0344,-1.0266
93,0.8916,-0.2485,-0.6956
94,0.9312,0.0515,-1.1174
95,1.0427,-0.1653,-0.7859
96,1.4773,0.2725,-0.2979
97,0.9946,-0.6177,-1.1711
98,1.0964,-0.1116,-1.3315
99,1.0964,0.2126,-0.6128
100,0.8406,-0.1409,-0.6343
101,0.9578,-0.1396,-1.1392
102,0.9011,-0.3879,-1.3120
103,1.2144,0.5369,-0.2698
104,0.7661,-0.3384,-0.4875
